verse_number,english_verse,translation_verse
1,"but he thought to himself, “One of these days, Saul is going to kill me. The only way to escape from him is to go to Philistia. Then I'll be outside of Israel, and Saul will give up trying to catch me.”","Dawide hane ye wɔ ye ti anu kyɛ, “Annea a, ɛlɛho Sɔɔlo konya me kohũ me. Bɔ ɔsɛ kyɛ meyɔ ala ole kyɛ ngɔnwati ngɔhɔ Filistifoɛ aseɛ so. Ɔba ye sɔ a, Sɔɔlo kɔpa aba, bɔ ɔngɔpena me ko wɔ Yisrael aseɛ so ɔ, na ngɔnwati ngofi ye sa nu.”"
4,"When Saul found out that David had run off to Gath, he stopped trying to catch him.","Na Sɔɔlo tele kyɛ Dawide anwati wahɔ Gate nen, ɔyakyili ye penalɛ."
5,"One day, David was talking with Achish and said, “If you are happy with me, then let me live in one of the towns in the countryside. I'm not important enough to live here with you in the royal city.”","Yeɛ Dawide sele Akise kyɛ, “Sɛ anya alo me de a, ye de maa bɛma me nekaa wɔ nguraa nemɔ ko aso ma ngɔndena dɔ. Nzu ati yeɛ ɔsɛ kyɛ w’akoaa ne wɔ bɛtena ahenguro wa ɔ?”"
6,"Achish gave David the town of Ziklag that same day, and Ziklag has belonged to the kings of Judah ever since.","Na sɔ kyẽa ne ala, Akise fale akuraa bɔ oli Siklage mane ye. Na ɔnate sɔ ati, Siklage ɔɔyɛle Yuda ahemvo mɔ deɛ maa waadwu ɛnɛ."
7,David was in Philistia for a year and four months.,Dawide lili afoɛ ko ne bosome nna wɔ Filistifoɛ maen ne anu.
8,"The Geshurites, the Girzites, and the Amalekites lived in the area from Telam to Shur and on as far as Egypt, and David often attacked their towns.","Dawide ne ye mmenia nemɔ beetuale Gesurefoɛ, Gisifoɛ ne Amalɛkefoɛ, ofikyɛ Sure atee ne aso bɔ ɛfa kɔ Misraim aseɛ so ne, sɔ mmenia nemɔ yeɛ né ofi tetetete bɛte berɛ ɔ."
9,"Whenever David and his men attacked a town, they took the sheep, cattle, donkeys, camels, and the clothing, and killed everyone who lived there. After he returned from a raid, David always went to see Achish,","Sɛ né Dawide fa koɛ kɔtoa mbɔtam bie a, okũkũ berɛ ama, na ɔmma bienzua anaa brasua ko po nnya ye ti nnidi nu. Nakoso berɛ mmoaen, nandwie, afunum, afupɔngɔ ne ndaadeɛ mɔ de, né ɔsesa, na osa ba nekaa bɔ Akise wɔ ne."
10,"who would ask, “Where did you attack today?” David would answer, “Oh, we attacked some desert town that belonged to the Judah tribe.” Sometimes David would say, “Oh, we attacked a town in the desert where the Jerahmeel clan lives” or “We attacked a town in the desert where the Kenites live.”","Na sɛ Akise bisa ye kyɛ, “Nisua yeɛ ɛmɔahɔ baabɔ apaa ɛnɛ ye” a, ɔyɛ a Dawide bua ye kyɛ, “Yɛɛbɔle apaa ne wɔ Yuda aseɛ ne ngwaen dɔ”, anaa “Yerameelfoɛ aseɛ ne ngwaen dɔ”, anaa “Kenifoɛ aseɛ ne ngwaen dɔ.”"
11,"That's why David killed everyone in the towns he attacked. He thought, “If I let any of them live, they might come to Gath and tell what I've really been doing.” David made these raids all the time he was in Philistia.","Dawide anyakyi bienzua anaa brasua ko po ma wannya ye ti wannidi nu, kyɛ ɔ́fa ye ba Gate, ofikyɛ osusuli kyɛ, “Annea a, né baahã yɛ nwo dwirɛ kyɛ, ‘Bra bɔ Dawide abɔ hɔ ɛhe.’ ” Mmerɛ bɔ Dawide lili ye wɔ Filistifoɛ aseɛ so ne amukoraa, sɔ nikyee ne yeɛ ɔyɔle ɔ."
12,"But Achish trusted David and thought, “David's people must be furious with him. From now on he will have to take orders from me.”","Akise lele Dawide lili, na Akise dwenene kyɛ, “Wama ye nwo ayɛ ye bɔbɔ ye mmenia Yisraelfoɛ ahi paa, yiti ɔkɔyɛ me somvoɛ daa.”"
4,"The Philistines went to Shunem and set up camp. Saul called the army of Israel together, and they set up their camp in Gilboa.","Filistifoɛ boaboale bɛ noa, na bɛɛkyekyele asikyeleɛ wɔ Sunem. Sɔɔlo boaboale Yisrael ɛlɔen ne amukoraa noa, na bɛkyekyele asikyeleɛ wɔ Gilboa."
5,Saul took one look at the Philistine army and started shaking with fear.,"Na mmerɛ bɔ Sɔɔlo nwuni Filisti koɛhonɛfoɛ nemɔ nen, ɛserɛ hane ye, na ɔbɔle fuin."
6,"So he asked the Lord what to do. But the Lord would not answer, either in a dream or by a priest or a prophet.","Sɔɔlo bisale AWURADE, nakoso laleɛ nu oo, Yurim so oo, anaa ngɔmhyɛlɛfoɛ so oo, AWURADE andɛ ye so."
7,"Then Saul told his officers, “Find me a woman who can talk to the spirits of the dead. I'll go to her and find out what's going to happen.” His servants told him, “There's a woman at Endor who can talk to spirits of the dead.”","Afei Sɔɔlo sele ye somvoɛ nemɔ kyɛ, “Ɛmɔɔpena brasua nzamangɔmhyɛlɛniɛ bɛma me maa ngɔ ye berɛ abisa.” Na ye somvoɛ nemɔ buale ye kyɛ, “Nzamangɔmhyɛlɛniɛ bie wɔ Ɛndɔɔ.”"
8,"That night, Saul put on different clothing so nobody would recognize him. Then he and two of his men went to the woman, and asked, “Will you bring up the ghost of someone for us?”","Yiti Sɔɔlo sakyerale ye nwo, owurale ndaadeɛ mbaen biemɔ, na osili nu ɔne mmenia nyɔ bɛhɔle berɛ. Beedwuli braa ne berɛ kɔngɔen. Na osele braa ne kyɛ, “Fa ngɔndwemahwenɛ so kɔ abisa ma me, na frɛ bɔ ngɔbɔ ye dumaa ngohyire wɔ ne fi ɛborɔ dɔ ma me.”"
9,"The woman said, “Why are you trying to trick me and get me killed? You know King Saul has killed everyone who talks to the spirits of the dead!”","Na braa ne buale ye kyɛ, “Wɔ bɔbɔ ɛse bɔ Sɔɔlo ayɔ ɔ, kyɛ watu nzamangɔmhyɛlɛfoɛ ne musueyelɛfoɛ wafi aseɛ ye aso. Nzu ati yeɛ ɛpena kyɛ esua me ngaen maa beku me ee?”"
10,"Saul replied, “I swear by the living Lord that nothing will happen to you because of this.”","Nakoso Sɔɔlo fale AWURADE tale ndaen hyirele ye kyɛ, “Kyɛ AWURADE te ase ye, engonya ɛhe anwo asohwenɛ biala.”"
11,"“Who do you want me to bring up?” she asked. “Bring up the ghost of Samuel,” he answered.","Yeɛ braa ne bisale ye kyɛ, “Nwa yeɛ mvrɛ ye mvi ɛborɔ dɔ mmrɛ wɔ ɔ?” Na obuale kyɛ, “Frɛ Samuel fi dɔ ma me.”"
12,"When the woman saw Samuel, she screamed. Then she turned to Saul and said, “You've tricked me! You're the king!”","Na braa ne nwuni Samuel nen, braa ne teane nu serɛserɛ sele Sɔɔlo kyɛ, “Nzu ati yeɛ alakalaka me ee? Wɔ ole Sɔɔlo!”"
13,"“Don't be afraid,” Saul replied. “Just tell me what you see.” She answered, “I see a spirit rising up out of the ground.”","Na Nana Sɔɔlo sele ye kyɛ, “Nnɛsuro, nzikyɛ yeɛ enwu ye ɔ?” Na braa ne buale Sɔɔlo kyɛ, “Menwu sunzum bie kyɛ ofi aseɛ bo dɔ ofite ba.”"
14,"“What does it look like?” “It looks like an old man wearing a robe.” Saul knew it was Samuel, so he bowed down low.","Na Sɔɔlo bisale braa ne kyɛ, “Ye sue te sɛɛ?” Obuale kyɛ, “Biaa aworowaa bie yeɛ ófite ba ɔ, na owura ataadeɛ tendenn bie.” Yiti Sɔɔlo nwuni kyɛ Samuel ɔ, na Sɔɔlo fale ye nyunu butuli ase kotole ye."
15,"“Why are you bothering me by bringing me up like this?” Samuel asked. “I'm terribly worried,” Saul answered. “The Philistines are about to attack me. God has turned his back on me and won't answer any more by prophets or by dreams. What should I do?”","Afei Samuel bisale Sɔɔlo kyɛ, “Nzu ati yeɛ agyegye me amaa mafi ɛborɔ dɔ mawa ɔ”? Na Sɔɔlo buale kyɛ, “Edwirɛ piri paa ato me, ofikyɛ Filistifoɛ afa koɛ batoa me. Nakoso Nyameɛ ayakyi me nu, na ɔmva ngɔmhyɛlɛfoɛ so anaa laleɛ nu mmua me ko. Yiti yeɛ mafrɛ wɔ kyɛ eehyire me bɔ nyɔ ɔ.”"
16,"Samuel said: If the Lord has turned away from you and is now your enemy, don't ask me what to do.","Na Samuel bisale kyɛ, “Nzu ati yeɛ ebisa me bɔ odi kyɛ ɛyɔ ɔ, wɔ aberɛ bɔ ɛse kyɛ AWURADE ayakyi wɔ nu, ná wayɛ wɔ pɔfoɛ ɔ?"
17,I've already told you: The Lord has sworn to take the kingdom from you and give it to David. And that's just what he's doing!,"Bɔ AWURADE nate me so hane ne ala yeɛ wamaa wato wɔ ɔ, ofikyɛ AWURADE ale ahennie ne wafi wɔ sa nu, na wafa wama ebiɛngo Dawide."
18,"When the Lord was angry with the Amalekites, he told you to destroy them, but you didn't do it. That's why the Lord is doing this to you.","Andie AWURADE dwirɛ, yeɛ ye yaa hahii bɔ wafɛ Amalɛkefoɛ so ne, angyina so annua bɛ boso, yiti yeɛ AWURADE ama edwirɛ he ato wɔ ɛnɛ ye."
19,"Tomorrow the Lord will let the Philistines defeat Israel's army, then you and your sons will join me down here in the world of the dead.","Asa koso, AWURADE kɔfa Yisrael ne wɔ kowura Filistifoɛ sa; na ɛhema ɛne wɔ mma mmienzua mɔ bɛkɔɔboka me so. Na AWURADE kɔfa Yisrael koɛhonɛfoɛ koso kowura Filistifoɛ sa.”"
20,"At once, Saul collapsed and lay stretched out on the floor, terrified at what Samuel had said. He was weak because he had not eaten anything since the day before.","Berɛ ne ala, Sɔɔlo tu tɔle aseɛnwo berɛ, ɔlale berɛ bangwaa, ofikyɛ Samuel noa dwirɛ ne mane ɛserɛ hane ye. Ye nwo yɛle ye hodwoo, ofikyɛ né ollili hwee sɔ kyẽa ne amukoraa ne sɔ kɔngɔen ne amukoraa."
21,"The woman came over to Saul, and when she saw that he was completely terrified, she said, “Your Majesty, I listened to you and risked my life to do what you asked.","Braa ne hɔle Sɔɔlo nwo berɛ, na onwuni kyɛ waboto paa ne, osele ye kyɛ, “W’afaneɛ atie wɔ dwirɛ. Mafa me ngoa mato serewa mayɔ bɔ ɛha hyirele me ne."
22,Now please listen to me. Let me get you a little something to eat. It will give you strength for your walk back to camp.”,Yiti wɔ koso tie bɔ w’afaneɛ ka ye. Maa mbena nikyee kãa ma ɛha wɔ noa. Didi ná nya anwoserɛ bɔ ɛkɔfa kosi nu kɔhɔ ɔ.”
23,"“No, I won't eat!” But his officers and the woman kept on urging Saul, until he finally agreed. He got up off the floor and sat on the bed.","Sɔɔlo ambene, na ɔhane kyɛ, “Mengoli.” Nakoso ye somvoɛ nemɔ ne braa ne hɔle so srɛle ye, na ɔpenene bɛ dwirɛ ne aso. Yiti odwɔsole fili aseɛnwo berɛ tenane mba ne aso."
24,At once the woman killed a calf that she had been fattening up. She cooked part of the meat and baked some thin bread.,"Né braa ne le nandwie ba bɔ walɔ ɔ wɔ awuro berɛ. Ɔyɛle ndɛndɛ huni ye, ɔfale esam fofale ye nwo, na ɔfa yɛle taterɛ kabrɛdi."
25,"Then she served the food to Saul and his officers, who ate and left before daylight.","Ɔfa siele Sɔɔlo ne ye somvoɛ nemɔ nyunu, na belili. Na besili nu bɛhɔle kɔngɔen ne ala."
4,The Philistine army commanders were angry and shouted: Send David back to the town you gave him. We won't have him going into the battle with us. He could turn and fight against us! Saul would take David back as an officer if David brought him the heads of our soldiers.,"Nakoso Filistifoɛ safohene nemɔ fɛle Akise so yaa, na besele ye kyɛ, “Ma akoaa he osa hɔ nekaa bɔ afa ama ye kyɛ ɔtena ne. Ɔnzɛ kyɛ yɛne ye bɔ nu yɛkɔ koɛ ne. Anyɔ a né wapɛ ye nwo ɔne yɛ aho. Nzikyɛ yeɛ sɔ akoaa he kɔfa kɔpata ye mene ɔ? Mmenia bɔ yɛwɔ wa ye, aso nna yɛ ti yeɛ ɔkɔfa kɔpata ye ɔ?"
5,"The Israelites even dance and sing, “Saul has killed a thousand enemies; David has killed ten thousand!”","Aso nna Dawide he yeɛ bɛfale ye dumaa bɛtole dwein begole abilie kyɛ, ‘Sɔɔlo ahu apee apee, yeɛ Dawide ahu apee buru apee buru’ ne?”"
6,"Achish called David over and said: I swear by the living Lord that you've been honest with me, and I want you to fight by my side. I don't think you've done anything wrong from the day you joined me until this very moment. But the other Philistine rulers don't want you to come along.","Afei Akise frɛle Dawide sele ye kyɛ, “Kyɛ AWURADE te ase ye, edi nahorɛ. Ɔhale me ngome a, ahaa ɛne me yeɛ yɛkɔhɔ koɛ ne ɔ; ofikyɛ, ofi kyẽa bɔ ɛɛfale wɔ nwo bɔle me bɔ ɔbaadwu ɛnɛ ɔ, nnwuni wɔ nwo dwirɛ tɛɛ biala. Nakoso ahemvo ngaa nemɔ bɛmbene so kyɛ ɛne yɛ kɔhɔ ɔ."
7,Go on back home and try not to upset them.,"Yiti sa kɔ. Kɔ asomdwee nu, na nnɛma Filistifoɛ ahemvo nemɔ bɛfɛ wɔ so yaa.”"
8,“But what have I done?” David asked. “Do you know of anything I've ever done that would keep me from fighting the enemies of my king?”,"Yeɛ Dawide sele Akise kyɛ, “Nzikyɛ yeɛ mayɔ ɔ? Ofi kyẽa bɔ nhyɛle ye bo nzole wɔ, bɔ ɔbaadwu ɛnɛ ɔ, Nana, me mene, nzikyɛ mvomsoɛ yeɛ anwu ye wɔ wɔ somvoɛ nwo ɔ, bɔ yiti ɔnzɛ kyɛ me ne wɔ pɔfoɛ mɔ yɛkɔko ɔ.”"
9,"Achish said: I believe that you're as good as an angel of God, but our army commanders have decided that you can't fight in this battle.","Na Akise buale Dawide kyɛ, “Me ngome de, mese kyɛ wɔ nwo sannwuu kyɛ Nyameɛ abɔfo, nakoso Filistifoɛ safohene mɔ nwa: ‘Yɛ ne ye ngɔhɔ koɛ ne.’"
10,"You and your troops will have to go back to the town I gave you. Get up and leave tomorrow morning as soon as it's light. I'm pleased with you, so don't let any of this bother you.","Yiti ɛne wɔ mene somvoɛ mɔ bɔ bɛ ne wɔ wale ne, ɛ́mɔpɛ aleɛ bedwɔso. [Wɔ nwo dwirɛ tɛɛ bɔ baha ne, nnɛmaa ɔha wɔ, ofikyɛ me nye asɔ bɔ ayɔ ne.] Ɔsɛ kyɛ alebahyene ɛmɔdwɔso, na sɛ maen nu tete ala a, ɛ́mɔsi nu bɛhɔ nekaa bɔ mama ɛmɔaatena ne.”"
11,"David and his men got up early in the morning and headed back toward Philistia, while the Philistines left for Jezreel.","Yiti Dawide ne ye mmenia nemɔ sili nu alebahyene kyɛ besa bɛkɔ Filistifoɛ aseɛ so. Nakoso Filistifoɛ nemɔ de, bɛhɔle Yesreel."
1,"It took David and his men three days to reach Ziklag. But while they had been away, the Amalekites had been raiding in the desert around there. They had attacked Ziklag, burned it to the ground,","Ye ɛlɛsa ne aso, bɔ Dawide ne ye mmenia nemɔ beedwuli Siklage nen, né Amalɛkefoɛ baabɔ apaa wɔ Yuda ngwaen dɔ ne Siklage. Né bafa koɛ baatoa Siklage bato nu see."
3,"When David and his men came to Ziklag, they saw the burned-out ruins and learned that their families had been taken captive.","Mmerɛ bɔ Dawide ne ye mmenia nemɔ beedwuli kuro ne aso ne, benwuni kyɛ bayera kuro ne. Afei koso, né bahye bɛ ye mɔ ne bɛ mma mmienzua ne mmrasua mɔ nnure bahɔ."
4,They started crying and kept it up until they were too weak to cry any more.,"Yiti Dawide ne mmenia bɔ bɛboka ye so ne betikyele esuɛ nu, na besuni toonn mane b’anwoserɛ bɔ bɛfa besu ne yiele."
6,"David was desperate. His soldiers were so upset over what had happened to their sons and daughters that they were thinking about stoning David to death. But he felt the Lord God giving him strength,","Edwirɛ piri tole Dawide, ofikyɛ ye mmenia nemɔ yɛle kyɛ bɛkɔboro ye nyɔboɛ. Ebiala ahone huli, ofikyɛ né bahye bɛ mma mmienzua ne mmrasua nnure bahɔ. Nakoso Dawide fale ye nye tole AWURADE ye Nyameɛ, na ogyinane pindinn."
7,"and he said to the priest, “Abiathar, let's ask God what to do.” Abiathar brought everything he needed to get answers from God, and he went over to David.","Yeɛ Dawide sele Ahimɛlɛke awa ɔsɔfo Abiata kyɛ, “Fa ɔsɔfo ataadeɛ ne brɛ me.” Na Abiata fale ɔsɔfo ataadeɛ ne brɛle ye."
8,"Then David asked the Lord, “Should I go after the people who raided our town? Can I catch up with them?” “Go after them,” the Lord answered. “You will catch up with them, and you will rescue your families.”","Na Dawide bisale AWURADE kyɛ, “Mbo apaabɔlɛfoɛ hemɔ so anaa? Ngɔto bɛ anaa?” Na AWURADE buale ye kyɛ, “Po bɛ so, ɛkɔto bɛ, na mekã mekyire wɔ kyɛ, mmenia bɔ bahye bɛ nnure ne, ekole bɛ.”"
11,"Some of David's men found an Egyptian out in a field and took him to David. They gave the Egyptian some bread, and he ate it. Then they gave him a drink of water,","Mmenia ɛyaa nna ne nwuni Misraimniɛ bie wɔ eburo berɛ, na bɛfale ye bɛbrɛle Dawide. Bɛmane ye aleɛ maa olili, ɔne nzue maa ɔnone."
12,"some dried figs, and two handfuls of raisins. This was the first time in three days he had tasted food or water. Now he felt much better.","Besa bɛmane ye borɔdoma taterɛ, ɔne bobe bɔ babobɔ ye kunguma nyɔ. Oli yiele nen, ye nwo yɛle ye se, ofikyɛ ɛlɛsa mumua, eyia ne kɔngɔen, né onnyane aleɛ anaa nzue biala ɔhhane ye noa."
13,"“Who is your master?” David asked. “And where do you come from?” “I'm from Egypt,” the young man answered. “I'm the servant of an Amalekite, but he left me here three days ago because I was sick.","Na Dawide bisale ye kyɛ, “Wɔ mene ole nwa? Efi nisua?” Na obuale kyɛ, “Nde Misraimniɛ aberandeɛ, nde Amalɛkeniɛ bie kanganiɛ. Me mene ahɔ ayakyi me, ofikyɛ anwonyerɛ bɔle me ɔ ɛnɛ te ɛlɛsa."
14,"We had attacked some towns in the desert where the Cherethites live, in the area that belongs to Judah, and in the desert where the Caleb clan lives. And we burned down Ziklag.”","Yɛɛbɔle apaa wɔ Keretifoɛ ngwaen dɔ, Yuda ngwaen dɔ, yeɛ Kalebo ngwaen dɔ, na yɛtole Siklage nu see.”"
15,"“Will you take me to those Amalekites?” David asked. “Yes, I will, if you promise with God as a witness that you won't kill me or hand me over to my master.”","Na Dawide bisale ye kyɛ, “Ekoohyire me nekaa bɔ apaabɔlɛfoɛ nemɔ wɔ ne anaa?” Yeɛ obuale kyɛ, “Fa Nyameɛ ta ndaen kyire me kyɛ engohu me, anaakyɛ ɛngɔfa me ngowura me mene sa, na ngoohyire wɔ nekaa bɔ apaabɔlɛfoɛ nemɔ bɛwɔ ɔ.”"
16,"He led David to the Amalekites. They were eating and drinking everywhere, celebrating because of what they had taken from Philistia and Judah.","Misraimniɛ ne fale Dawide hɔle apaabɔlɛfoɛ nemɔ dɔ. Né bayɛ berɛ amukoraa birikabirika. Né begu so bedidi, bɛno, bego abilie, ɔnate koɛ nu nzesadeɛ worawora bɔ baafa ye Filistifoɛ aseɛ so ne Yuda aseɛ so ne ati."
17,"David attacked just before sunrise the next day and fought until sunset. Four hundred Amalekites rode away on camels, but they were the only ones who escaped.","Dawide huhuni bɛ fite alebahyene maa oodwuli kyẽa bɔ ɔtoa so ne ye nɔsoa. Bɛ nu biala annya ye ti wannidi nu, sana mmerandeɛ ɛyaa nna yeɛ bɛfole afupɔngɔ mɔ so bɛnwati bɛhɔle ɔ."
18,David rescued his two wives and everyone else the Amalekites had taken from Ziklag.,"Nikyee biala bɔ Amalɛkefoɛ fale ne, Dawide lele, na ye sa hane ɔye nyɔ nemɔ koso."
19,"No one was missing—young or old, sons or daughters. David brought back everything that had been stolen,","Bɛ nikye fee amvi bɛ sa, ngwadaa oo, mbanyi oo, mmaa mmienzua oo, mmaa mmrasua oo, koɛ nu nzesadeɛ oo, anaa nikyee biala bɔ Amalɛkefoɛ fa hɔle oo. Dawide fale ye mukoraa sa wale."
20,"including their livestock. David also took the sheep and cattle that the Amalekites had with them, but he kept these separate from the others. Everyone agreed that these would be David's reward.","Dawide fale mmoaen ne nandwie amukoraa koso wale. Ye mmenia nemɔ hane mmoaen ne nandwie nemɔ lili nyɛmmoa ngaa ne anyunu, na besele kyɛ, “Ɛhe te Dawide koɛ nu nzesadeɛ.”"
22,"Some of David's men were good-for-nothings, and they said, “Those men didn't go with us to the battle, so they don't get any of the things we took back from the Amalekites. Let them take their wives and children and go!”","Yeɛ mmenia bɔ bɛ ne Dawide hɔle ne, bɛ nu atianuserɛfoɛ ne ammɔbrafoɛ biemɔ sele kyɛ, “Bɛ ne yɛ angɔ, yiti koɛ nu nzesadeɛ bɔ yaale ne, yɛngɔma bɛ bie. Bɛ ye mɔ ne bɛ mma mɔ ala, yeɛ bɛ nu biala ye sa kɔha ye ɔ.”"
23,"But David said: My friends, don't be so greedy with what the Lord has given us! The Lord protected us and gave us victory over the people who attacked.","Nakoso Dawide sele kyɛ, “Aliɛmaa mɔ, nikyee bɔ AWURADE afa ama yɛ ne, ɔnzɛ kyɛ ɛmɔfa bɛbɔ atianuserɛ. Wabɔ yɛ nwo waen, na wafa mmenia bɔ bɛɛbɔle yɛ so apaa ne wawura yɛ sa."
24,"Who would pay attention to you, anyway? Soldiers who stay behind to guard the camp get as much as those who go into battle.","Bɔ ɛmɔaha ne, ebiala ne ɛmɔ nyɛ adwene. Ofikyɛ, sona bɔ ogyina koɛ noa ne, ye koɛ nu nzesadeɛ bue deɛ ne, sɔ ala yeɛ sona bɔ ɔneane nningyein ne koso, ɔsɛ kyɛ onya ɔ. Bɛkyɛ ye pɛ.”"
25,"David made this a law for Israel, and it has been the same ever since.","Na ofi sɔ kyẽa ne, Dawide fa yɛle ahyɛdeɛ ne nhyehyɛleɛ tole berɛ mane Yisrael, na ɔtɛwɔ berɛ maa waadwu ɛnɛ."
26,"David went back to Ziklag with everything they had taken from the Amalekites. He sent some of these things as gifts to his friends who were leaders of Judah, and he told them, “We took these things from the Lord's enemies. Please accept them as a gift.”","Dawide sa wale Siklage nen, ɔsomane maa bɛfale koɛ nu nzesadeɛ ne bie bɛɛmane Yuda mbanyi mɔ. Bɛte ye damvo mɔ, na ɔtole bɛ ngraa kyɛ, “Koɛ nu nzesadeɛ bɔ yanya yafi AWURADE pɔfoɛ mɔ berɛ ne, ɛmɔ deɛ ɛne.”"
1,"Meanwhile, the Philistines were fighting Israel at Mount Gilboa. Israel's soldiers ran from the Philistines, and many of them were killed.","Afei Filistifoɛ fale koɛ bɛɛtetale Yisrael. Yisrael mmienzua nwati fili Filistifoɛ nyunu, na bɛ nu pee totɔle wɔ Gilboa bokaa ne aso."
2,"The Philistines closed in on Saul and his sons, and they killed his sons Jonathan, Abinadab, and Malchishua.","Filistifoɛ pole Sɔɔlo ne ye mma mmienzua nemɔ aso, na behuhuni Sɔɔlo mma mmienzua Yonatan, Abinadabo ne Malkisua."
3,"The fighting was fierce around Saul, and he was badly wounded by enemy arrows.","Koɛ ne anu yɛle se mane Sɔɔlo. Filisti agyaentolɛfoɛ nemɔ nwuni ye, na bɛtole agyaen besinane ye maa opurale paa."
4,"Saul told the soldier who carried his weapons, “Kill me with your sword! I don't want these worthless Philistines to torture and make fun of me.” But the soldier was afraid to kill him. Saul then took out his own sword; he stuck the blade into his stomach, and fell on it.","Na Sɔɔlo sele ye somvoɛ bɔ otira ye akodeɛ ne kyɛ, “Twe wɔ ngrandɛ ne fa wɔ me. Anyɔ a, mmenia hemɔ bɔ bɛmbɛ bɛ bienzua ye, bɛkɔɔfa bie bɛkɔwɔ me ná bagoro me nwo.” Nakoso ye somvoɛ bɔ otira ye akodeɛ ne ambene so kyɛ ɔkɔyɔ sɔ ɔ, ofikyɛ ɛserɛ piri hane ye. Yiti Sɔɔlo fale ye bɔbɔ ye ngrandɛ ne, na ɔtole ye nwo yele so huni ye nwo."
5,"When the soldier knew that Saul was dead, he killed himself in the same way.","Mmerɛ bɔ Sɔɔlo somvoɛ bɔ otira ye akodeɛ ne nwuni kyɛ Sɔɔlo awu nen, ye koso ɔtole ye nwo yele ye ngrandɛ so ɔne Sɔɔlo bewuli."
6,"Saul was dead, his three sons were dead, and the soldier who carried his weapons was dead. They and all his soldiers died on that same day.","Yiti Sɔɔlo ne ye mma mmienzua nza ne, ye somvoɛ bɔ otira ye akodeɛ ne, yeɛ ye koɛhonɛfoɛ bɔ bɛtotɔle ne, bɛ mukoraa bɛtotɔle ɛlɛho."
7,"The Israelites on the other side of Jezreel Valley and the other side of the Jordan learned that Saul and his sons were dead. They saw that the Israelite army had run away. So they ran away too, and the Philistines moved into the towns the Israelites had left behind.","Na Yisrael koɛhonɛfoɛ bɔ né bɛwɔ bɔnza ne asi dɔ ne, ɔne bɛ bɔ né bɛwɔ asue Yɔɔdan si dɔ ne, mmerɛ bɔ benwuni kyɛ Yisrael koɛhonɛfoɛ nemɔ banwati, ná Sɔɔlo ne ye mma mmienzua nemɔ koso bawuwu nen, bɛnwatili befili bɛ nguro nemɔ aso, na Filistifoɛ wale bɛɛfale nguro nemɔ bɛtenane so."
8,"The day after the battle, when the Philistines returned to the battlefield to take the weapons of the dead Israelite soldiers, they found Saul and his three sons lying dead on Mount Gilboa.","Aleɛ hyene ne, Filistifoɛ hɔle kyɛ bɛkwaayeye Yisraelfoɛ bɔ bawuwu nemɔ bɛ nwo nningyein, na benwuni kyɛ Sɔɔlo ne ye mma mmienzua nza nemɔ batotɔ wɔ Gilboa bokaa ne aso."
11,The people who lived in Jabesh in Gilead heard what the Philistines had done to Saul's body.,"Na mmerɛ bɔ Yabese Gileadefoɛ tele nikyee bɔ Filistifoɛ afa ayɛ Sɔɔlo nen,"
12,"So one night, some brave men from Jabesh went to Beth-Shan. They took down the bodies of Saul and his sons, then brought them back to Jabesh and burned them.","bɛ koɛhonɛfoɛ ahoneserɛfoɛ nemɔ penene atee so. Bɛnatele kɔngɔen ne toonn, na bɛɛyele Sɔɔlo ne ye mma nemɔ fuin befili Bete San fasue ne anwo. Na bɛfale bɛ bɛwale Yabese bɛɛyerale bɛ wɔ berɛ."
13,"They buried the bones under a small tree in Jabesh, and for seven days, they went without eating to show their sorrow.","Afei bɛsesale bɛ mmowue nemɔ besiele bɛ wɔ akyea ne abo wɔ Yabese, na bebua bɛlale ɛlɛsoo."
1,"Saul was dead. Meanwhile, David had defeated the Amalekites and returned to Ziklag.","Sɔɔlo wue asi ne, mmerɛ bɔ né Dawide waali Amalɛkefoɛ so ngonim wawa ne, Dawide lili elenyɔ wɔ Siklage."
2,"Three days later, a soldier came from Saul's army. His clothes were torn, and dirt was on his head. He went to David and knelt down in front of him.","Ye ɛlɛsa ne aso, biaa bie fili Sɔɔlo asikyeleɛ ne anu dɔ wale. Né ye ndaadeɛ nu asunzua, yeɛ né nnɛterɛ wɔ ye ti so. Oodwuli Dawide nyunu berɛ ne, ɔbɔle ye ti ase kotole ye."
3,"David asked, “Where did you come from?” The man answered, “From Israel's army. I barely escaped with my life.”","Na Dawide bisale ye kyɛ, “Nisua yeɛ efi bɔ ɛ́ba ye?” Yeɛ obuale ye kyɛ, “Manwati mafi Yisrael asikyeleɛ ne anu.”"
4,"“Who won the battle?” David asked. The man said, “Our army turned and ran, but many were wounded and died. Even King Saul and his son Jonathan are dead.”","Na Dawide bisale ye kyɛ, “Sɛɛ yeɛ koɛ ne ooyiele ɔ? Ka kyire me!” Na obuale kyɛ, “Yisrael koɛhonɛfoɛ nemɔ bangora koɛ ne noa gyina, banwati; na koɛhonɛfoɛ nemɔ pee baho batɔ. Sɔɔlo ne ɔwa Yonatan koso bawu.”"
