verse_number,english_verse,translation_verse
16,Naomi loved the boy and took good care of him.,"Na Naomi faa akokoaa no, na ɔhwɛɛ no te sɛ ɔno ankasa yafunu ba."
17,"The neighborhood women named him Obed, but they called him “Naomi's Boy.” When Obed grew up he had a son named Jesse, who later became the father of King David.","Na mmea a wɔne no bɔ ofipam no kae se, “Afei de Naomi anya ɔbabarima bio.” Na wɔtoo no din Obed. Ɔno na ɔbɛyɛɛ Yisai agya ne Dawid nena."
1,"Elkanah lived in Ramah, a town in the hill country of Ephraim. His great-great-grandfather was Zuph, so Elkanah was a member of the Zuph clan of the Ephraim tribe. Elkanah's father was Jeroham, his grandfather was Elihu, and his great-grandfather was Tohu.","Na ɔbarima bi fi Ramataim-Sofim a ɛwɔ Efraim bepɔw asase so a ne din de Elkana. Na Elkana yi yɛ Yeroham babarima ne Elihu nena nso. Na wofi Tohu fi, a ɛwɔ Suf abusua mu."
2,"Elkanah had two wives, Hannah and Peninnah. Although Peninnah had children, Hannah did not have any.","Na Elkana wɔ yerenom baanu. Na wɔn din de Hana ne Penina. Na Penina wɔ mma. Hana de, na onni ba."
3,"Once a year Elkanah traveled from his hometown to Shiloh, where he worshiped the Lord All-Powerful and offered sacrifices. Eli was the Lord's priest there, and his two sons Hophni and Phinehas served with him as priests.","Afe biara, na Elkana ne nʼabusuafo kɔ Silo kɔsom, bɔ afɔre ma Asafo Awurade wɔ Awurade fi. Na Eli mmabarima baanu a wɔn din de Hofni ne Pinehas na wɔyɛ Awurade asɔfo wɔ hɔ saa bere no."
4,"Whenever Elkanah offered a sacrifice, he gave some of the meat to Peninnah and some to each of her sons and daughters.","Da biara a Elkana bɛba abɛbɔ afɔre no, ɔde nam no mu nkyɛmu bi ma ne yere Penina ne ne mma no mu biara."
5,"But he gave Hannah even more, because he loved Hannah very much, even though the Lord had kept her from having children of her own.","Nanso Hana de, na ne kyɛfa yɛ sononko, efisɛ na ɔdɔ no yiye."
6,"Peninnah liked to make Hannah feel miserable about not having any children,","Nanso na Awurade ato nʼawode mu nti, na Penina di ne ho fɛw."
7,"especially when the family went to the house of the Lord each year. One day, Elkanah was there offering a sacrifice, when Hannah began crying and refused to eat.","Na saa asɛm yi kɔɔ so afe biara. Bere biara a wɔbɛkɔ Awurade fi no, Penina bɔ Hana akutia. Na eyi ma Hana su na onnidi mpo."
8,"So Elkanah asked, “Hannah, why are you crying? Why won't you eat? Why do you feel so bad? Don't I mean more to you than ten sons?”","Ɛba saa a, ne kunu Elkana bisa no se, “Hana, adɛn na woresu? Adɛn nti na wunnidi? Adɛn nti na wo werɛ ahow? So mensom bo mma wo nsen sɛ anka wowɔ mmabarima du mpo?” Hana Bɔ Mpae Sɛ Ɔpɛ Ɔba"
9,"When the sacrifice had been offered, and they had eaten the meal, Hannah got up and went to pray. Eli was sitting in his chair near the door to the place of worship.","Da koro bi a na wɔwɔ Silo no, Hana fii adi anwummere bi a wɔadidi awie sɛ ɔrekɔ Awurade fi akɔbɔ mpae. Na ɔsɔfo Eli te baabi a ɔtena daa wɔ Awurade fi pon ano hɔ."
10,"Hannah was heartbroken and was crying as she prayed,","Hana fi awerɛhow a ano yɛ den mu sui, bere a na ɔrebɔ Awurade mpae."
11,"“Lord All-Powerful, I am your servant, but I am so miserable! Please let me have a son. I promise to give him to you for as long as he lives, and his hair will never be cut.”","Na ɔhyɛɛ bɔ se, “Ao Asafo Awurade, sɛ wobɛhwɛ wo somfo awerɛhowdi so, na woatie me mpaebɔ ama me ɔbabarima a, ɛno de mede no bɛsan ama wo. Ne nna a obedi nyinaa ɔbɛyɛ wo de. Nea ɛbɛyɛ adansedi sɛ wɔde no ama Awurade ne sɛ wɔremfa oyiwan nka ne ti da.”"
13,"Hannah prayed silently to the Lord for a long time. But her lips were moving, and Eli thought she was drunk.","Ohuu sɛ ɔrebesebese nʼano, nanso ɔnte nne biara no, Eli susuw sɛ wanom nsa."
14,“How long are you going to stay drunk?” he asked. “Sober up!”,"Obisaa no se, “Ɛsɛ sɛ woba ha bere a woabow nsa ana? Ma wʼani nna hɔ!”"
17,"Eli replied, “Go home. Everything will be fine. The God of Israel will answer your prayer.”","Eli buae se, “Fa asomdwoe kɔ! Israel Nyankopɔn nyɛ wʼabisade mma wo.”"
18,"“Sir, thank you for being so kind to me,” Hannah said. Then she left, and after eating something, she felt much better. Samuel Is Born","Hana teɛ mu se, “Ma wʼafenaa nya wʼanim anuonyam a, awura” Ɔsan kɔ kodidii, na wanni awerɛhow bio. Wɔwo Samuel De No Ma Onyankopɔn"
19,Elkanah and his family got up early the next morning and worshiped the Lord. Then they went back home to Ramah. Later the Lord blessed Elkanah and Hannah,"Ade kyee anɔpahema no, ofi no mu nnipa sɔre kɔsom Awurade bio. Afei, wɔsan kɔɔ Rama. Bere a Elkana de ne ho kaa Hana no, Awurade kaee Hana adebisa no,"
20,with a son. She named him Samuel because she had asked the Lord for him. Hannah Gives Samuel to the Lord,"na anni da bi, ɔwoo ɔbabarima. Ɔtoo no din Samuel na ɔkae se, “Mibisaa no fii Awurade nkyɛn.”"
21,"The next time Elkanah and his family went to offer their yearly sacrifice, he took along a gift that he had promised to give to the Lord.","Afe akyi no, Elkana, Penina, ne wɔn mma kɔɔ sɛ wɔrekɔbɔ afirihyia afɔre ama Awurade."
22,"But Hannah stayed home, because she had told Elkanah, “Samuel and I won't go until he's old enough for me to stop nursing him. Then I'll give him to the Lord, and he can stay there at Shiloh for the rest of his life.”","Hana ankɔ bi. Ɔka kyerɛɛ ne kunu se, “Sɛ abofra no twa nufu a, mede no bɛkɔ Awurade fi na makogyaw no wɔ hɔ ama Awurade afebɔɔ.”"
23,"“You know what's best,” Elkanah said. “Stay here until it's time to stop nursing him. I'm sure the Lord will help you do what you have promised.” Hannah did not go to Shiloh until she stopped nursing Samuel.","Elkana kae se, “Nea wugye di sɛ eye ma wo biara no, yɛ. Tena ha ansa; na Awurade mmoa wo mma wunni wo bɔhyɛ so.” Enti ɔbea no tenaa fie hwɛɛ ne babarima no."
26,"“Sir,” Hannah said, “a few years ago I stood here beside you and asked the Lord","Hana kae se, “Owura mesrɛ wo. Sɛ wote ase yi, mene ɔbea a obegyinaa wo ho bɔɔ Awurade mpae no."
27,to give me a child. Here he is! The Lord gave me just what I asked for.,"Mebɔɔ saa abofra yi ho mpae, na Awurade ayɛ mʼabisade ama me."
28,"Now I am giving him to the Lord, and he will be the Lord's servant for as long as he lives.” Hannah Prays Elkanah worshiped the Lord there at Shiloh, and","Enti mprempren, mede abofra yi rema Awurade. Ne nkwa nna nyinaa, ɔbɛyɛ Awurade dea.” Na ɔsom Awurade wɔ hɔ."
1,"Hannah prayed: You make me strong and happy, Lord. You rescued me. Now I can be glad and laugh at my enemies.","Na Hana bɔɔ mpae se, “Me koma di ahurusi wɔ Awurade mu! Awurade mu na wɔma mʼabɛn so. Afei, manya mmuae ama mʼatamfo, na mʼani gye wɔ wo gye no ho."
2,No other god is like you. And with you we are safer than on a high mountain.,“Obiara nyɛ kronkron sɛ Awurade! Obi bi nnka wo ho; Ɔbotan bi nni hɔ sɛ yɛn Nyankopɔn.
3,"I can tell those proud people, “Stop your boasting! Nothing is hidden from the Lord, and he judges what we do.”","“Nkɔ so nkasa ahomaso so anaa nka ahantan kasa, efisɛ Awurade yɛ Onyankopɔn a onim, na wɔfa ne so kari nneyɛe."
4,"Our Lord, you break the bows of warriors, but you give strength to everyone who stumbles.","“Wɔabubu akofo mpeaw, na wɔama wɔn a wohintihintiw no ahoɔden. Afei, wɔayɛ den."
5,"People who once had plenty to eat must now hire themselves out for only a piece of bread. But you give the hungry more than enough to eat. A woman did not have a child, and you gave her seven, but a woman who had many was left with none.","Wɔn a na wodidi mee pintinn no afei, ɔkɔm rekum wɔn. Na wɔn a ɔkɔm rekum wɔn no nso afei, wɔamee pintinn. Afei, obonin wɔ mma baason. Na ɔbea a na ɔwɔ mma pii no, mma bɛbɔ no."
6,"You take away life, and you give life. You send people down to the world of the dead and bring them back again.","“Awurade de nkwa ne owu nyinaa ba; Ɔka bi hyɛ ɔda mu, na onyan ebinom."
7,"Our Lord, you are the one who makes us rich or poor. You put some in high positions and bring disgrace on others.",Awurade yɛ obi ohiani na wayɛ obi ɔdefo; ɔbrɛ obi ase na wapagyaw obi.
8,"You lift the poor and homeless out of the garbage dump and give them places of honor in royal palaces. You set the world on foundations, and they belong to you.","Ɔpagyaw ohiani fi mfutuma mu Yiw, oyi no fi nsosiw mu! Ɔyɛ wɔn sɛ mmapɔmma, de wɔn tena anuonyam ahengua so. “Efisɛ asase fapem yɛ Awurade de, na watoto wiase sɛnea ɛsɛ."
9,"You protect your loyal people, but everyone who is evil will die in darkness. We cannot win a victory by our own strength.","Ɔbɛbɔ onyamesurofo ho ban, na amumɔyɛfo bɛyera esum mu. “Sɛ ahoɔden mu nko de a, obiara renni nkonim."
10,"Our Lord, those who attack you will be broken in pieces when you fight back with thunder from heaven. You will judge the whole earth and give power and strength to your chosen king. Samuel Stays with Eli","Wɔn a wɔko tia Awurade no, ɔbɛdwerɛw wɔn. Ɔpae aprannaa fi wim gu wɔn so; Awurade bu atɛn wɔ asase so baabiara. “Ɔma ne hempɔn ahoɔden kɛse; nea wasra no no, ɔhyɛ nʼahoɔden mu den.”"
11,"Elkanah and Hannah went back home to Ramah, but the boy Samuel stayed to help Eli serve the Lord. Eli's Sons","Afei, Elkana ne Hana gyaw Samuel hɔ ma wɔkɔɔ fie wɔ Rama. Na abarimaa no bɛyɛɛ Awurade somfo wɔ ɔsɔfo Eli nan ase. Eli Mmabarima Amumɔyɛfo"
13,"Eli's sons were priests, but they were dishonest and refused to obey the Lord. So, while people were boiling the meat from their sacrifices, these priests would send over a servant with a large, three-pronged fork.","anaa wɔn asɔfodwuma. Bere biara a obi bɛba abɛbɔ afɔre na wɔrenoa nam no, Eli mma no soma ɔsomfo de adinam a ɛwɔ ano abiɛsa ba. Bere a nam no si gya so no,"
14,"The servant would stick the fork into the cooking pot, and whatever meat came out on the fork was taken back to Eli's two sons. That was how they treated every Israelite who came to offer sacrifices in Shiloh.",ɔsomfo no de adinam no wɔ dadesɛn no mu. Na wɔhyɛ sɛ nea adinam no bɛwɔ mu no nyinaa yɛ Eli mma no de. Wɔde Israelfo a wɔba Silo hɔ nyinaa faa saa ɔkwan yi so.
15,"Sometimes, when people were offering sacrifices, the servant would come over, even before the fat had been cut off and sacrificed to the Lord. Then the servant would tell them, “The priest doesn't want his meat boiled! Give him some raw meat that he can roast!”","Ɛtɔ da bi a, ansa na wɔbɛhyew srade no, ɔsɔfo no somfo ba bɛka kyerɛ onipa a ɔrebɔ afɔre no se, “Ma ɔsɔfo no nam no bi, na ɔntoto. Ɔmpɛ wo nam a woanoa, na mmom, nam amono nko ara.”"
16,"Usually the people answered, “Take what you want. But first, let us sacrifice the fat to the Lord.” “No,” the servant would reply. “If you don't give it to me now, I'll take it by force.”","Onipa a ɔrebɔ afɔre no ka se, “Fa dodow biara a wopɛ, nanso srade no de, ɛsɛ sɛ wɔhyew ansa.” Ɛhɔ na ɔsomfo no bɛka se, “Dabi da, fa ma me mprempren ara, anyɛ saa a, mede me tumi bɛfa.”"
17,"Eli's sons did not show any respect for the sacrifices that the people offered. This was a terrible sin, and it made the Lord very angry. Hannah Visits Samuel","Na saa bɔne a mmerante yi yɛ yi yɛ akyiwade wɔ Awurade anim, efisɛ na wobu Awurade afɔrebɔ no animtiaa."
18,The boy Samuel served the Lord and wore a special linen garment,"Samuel de, ɛwɔ mu sɛ na ɔyɛ abarimaa de, nanso na ɔyɛ Awurade somfo a wɔde nwera asɔfotade ahyɛ no te sɛ ɔsɔfo."
19,"and the clothes his mother made for him. She brought new clothes every year, when she and her husband came to offer sacrifices at Shiloh.","Afe biara a ne na ne ne kunu rekɔbɔ afirihyia afɔre no, na ne na pam batakari ketewaa bi de kɔma no."
20,"Eli always blessed Elkanah and his wife and said, “Samuel was born in answer to your prayers. Now you have given him to the Lord. I pray that the Lord will bless you with more children to take his place.” After Eli had blessed them, Elkanah and Hannah would return home.","Ansa na wɔbɛsan akɔ fie no, Eli hyira Elkana ne ne yere ka se, “Awurade mma ɔbea yi nwo mma, na ommesi nea ɔbɔɔ ne ho mpae nyae a ɔde no maa Awurade no anan mu.”"
21,"The Lord was kind to Hannah, and she had three more sons and two daughters. But Samuel grew up at the Lord's house in Shiloh. Eli Warns His Sons",Na Awurade maa Hana woo mmabarima baasa ne mmabea baanu. Na Samuel nyinii wɔ Awurade anim.
22,"Eli was now very old, and he heard what his sons were doing to the people of Israel.","Afei, Eli bɔɔ akwakoraa, nanso na onim nea ne mmabarima no de reyɛ Israelfo. Nhwɛso bi ne sɛ, na onim sɛ ne mmabarima no fa mmabaa a wɔboa ntamadan no ano adwumayɛ no."
24,“Why are you doing these awful things?” he asked them. “I've been hearing nothing but complaints about you from all of the Lord's people.,"Me mma, ɛsɛ sɛ mugyae! Mo ho nsɛm a metete fi Awurade nkurɔfo nkyɛn no nye."
25,"If you harm another person, God can help make things right between the two of you. But if you commit a crime against the Lord, no one can help you!” But the Lord had already decided to kill them. So he kept them from listening to their father. A Prophet Speaks to Eli","Sɛ obi yɛ bɔne tia ɔfoforo a, Onyankopɔn tumi gyina mu ma ɔfɔdifo no. Nanso sɛ obi yɛ bɔne tia Awurade a, hena na obetumi agyina mu?” Eli mma no antie wɔn agya afotu no, na Awurade nso reyɛ nʼadwene sɛ obekum wɔn."
26,"Each day, as Samuel grew older, the Lord was pleased with him, and so were the people.","Na abofra Samuel nyinii, na ɔkɔɔ so nyaa adom fii Awurade ne ɔmanfo nkyɛn. Eli Abusuafo Kɔkɔbɔ"
27,"One day a prophet came to Eli and gave him this message from the Lord: When your ancestors were slaves of the king of Egypt, I came and showed them who I am.","Da koro bi Onyankopɔn nipa bi baa Eli nkyɛn bɛkae se, “Sɛɛ na Awurade se, ‘Manna me ho adi pefee ankyerɛ wʼagya fi bere a na wɔyɛ nkoa wɔ Misraim no ana?"
30,"I am the Lord, the God of Israel. I promised to always let your family serve me as priests, but now I tell you that I cannot do this any longer! I honor anyone who honors me, but I put a curse on anyone who hates me.","“Enti asɛm a Awurade, Israel Nyankopɔn ka ara ni: ‘Meremma nneɛma bɔne a moreyɛ yi nkɔ so! Mehyɛɛ bɔ sɛ wo Lewi abusuafo no bɛyɛ mʼasɔfo, nanso wɔn a wodi me ni no, medi wɔn ni; na wɔn a wobu me animtiaa no, mɛbɔ wɔn ahohora."
31,The time will come when I will kill you and everyone else in your family. Not one of you will live to an old age.,"Mɛma mo fifo agyae mʼasɔfodi som no. Mpatuwu rempa mo fi da na mo mu biara rentena ase nni mfe mmee,"
32,"Your family will have a lot of trouble. I will be kind to Israel, but everyone in your family will die young.","na mubehu awerɛhow wɔ me tenabea. Ɛwɔ mu, trenee bɛba Israel so, nanso obiara nni mo abusua mu a obenyin abɔ akwakoraa."
33,"If I let anyone from your family be a priest, his life will be full of sadness and sorrow. But most of the men in your family will die a violent death!",Wɔn a wɔbɛka no bɛtena ase awerɛhow ne ahoɔmmerɛw mu. Na mo asefo bɛtetew abun awuwu.
34,"To prove to you that I will do these things, your two sons, Hophni and Phinehas, will die on the same day.","“ ‘Na sɛnea ɛbɛyɛ na wubehu sɛ nea maka no bɛba mu saa no nti, mɛma wo mmabarima baanu no, Hofni ne Pinehas no awuwu da koro mu."
35,"I have chosen someone else to be my priest, someone who will be faithful and obey me. I will always let his family serve as priests and help my chosen king.","Ɛno akyi masi ɔsɔfo foforo a ɔyɛ ɔnokwafo a ɔbɛsom me, na wayɛ nea mɛkyerɛ no sɛ ɔnyɛ biara. Mehyira nʼasefo, na ne fifo bɛyɛ ahene a mɛsra wɔn ngo no asefo akosi daa."
36,"But if anyone is left from your family, he will come to my priest and beg for money or a little bread. He may even say to my priest, “Please let me be a priest, so I will at least have something to eat.”","Na wʼasefo nyinaa bɛkotow nʼasefo, asrɛsrɛ wɔn sika ne aduan. Wɔbɛka se, “Mesrɛ mo, momma yɛn nnwuma bi nyɛ wɔ asɔfo no mu sɛnea ɛbɛma yɛanya aduan adi amee.” ’ ”"
3,and Samuel was sleeping on a mat near the sacred chest in the Lord's house. They had not been asleep very long,Na Onyankopɔn kanea no nnya nnumii. Saa bere no na Samuel da Ahyiae Ntamadan no mu baabi a ɛbɛn Onyankopɔn adaka no.
4,when the Lord called out Samuel's name. “Here I am!” Samuel answered.,"Prɛko pɛ, Awurade frɛe se, “Samuel! Samuel!” Samuel buae se, “Mini.”"
5,"Then he ran to Eli and said, “Here I am. What do you want?” “I didn't call you,” Eli answered. “Go back to bed.” Samuel went back.","Na ɔyɛɛ ntɛm kɔɔ Eli nkyɛn kɔka kyerɛɛ no se, “Mini; wofrɛɛ me.” Eli nso buaa no se, “Memfrɛɛ wo ɛ; san kɔda.” Enti ɔsan kɔdae."
6,"Again the Lord called out Samuel's name. Samuel got up and went to Eli. “Here I am,” he said. “What do you want?” Eli told him, “Son, I didn't call you. Go back to sleep.”","Awurade san frɛɛ bio se, “Samuel!” Bio, Samuel san yɛɛ ntɛm kɔɔ Eli nkyɛn kɔka kyerɛɛ no se, “Mini; wofrɛɛ me?” Eli buaa no se, “Me ba, memfrɛɛ wo ɛ; san kɔda.”"
7,"The Lord had not spoken to Samuel before, and Samuel did not recognize the voice.","Na Samuel nnya nhuu Awurade, efisɛ na Awurade asɛm mmaa ne nkyɛn da."
8,"When the Lord called out his name for the third time, Samuel went to Eli again and said, “Here I am. What do you want?” Eli finally realized that it was the Lord who was speaking to Samuel.","Awurade frɛɛ Samuel ne mprɛnsa so. Na Samuel yɛɛ ntɛm kɔɔ Eli nkyɛn kɔkae se, “Mini; wofrɛɛ me.” Ɛhɔ na Eli huu sɛ ɛyɛ Awurade na ɔrefrɛ abarimaa no."
9,"So he said, “Go back and lie down! If someone speaks to you again, answer, ‘I'm listening, Lord. What do you want me to do?’ ” Once again Samuel went back and lay down.","Enti ɔka kyerɛɛ Samuel se, “Kɔ na kɔda bio, na sɛ wote sɛ obi refrɛ wo a, gye so se, ‘Awurade kasa na wʼakoa retie.’ ” Enti Samuel kɔdaa bio."
10,"The Lord then stood beside Samuel and called out as he had done before, “Samuel! Samuel!” “I'm listening,” Samuel answered. “What do you want me to do?”","Na Awurade ba bɛfrɛɛ bio se, “Samuel! Samuel!” Na Samuel buae se, “Awurade kasa na wʼakoa retie.”"
11,"The Lord said: Samuel, I am going to do something in Israel that will shock everyone who hears about it!","Na Awurade ka kyerɛɛ Samuel se, “Merebɛyɛ akomatu ade bi wɔ Israel."
12,"I will punish Eli and his family, just as I promised.",Merebɛyɛ nea maka atia Eli ne nʼabusuafo no nyinaa.
13,"He knew that his sons refused to respect me, and he let them get away with it, even though I said I would punish his family forever.","Mabɔ no kɔkɔ mpɛn bebree sɛ, atemmu reba ɔne nʼabusuafo so, efisɛ ne mmabarima abɔ mmusu atia Onyankopɔn, nanso wankasa ankyerɛ wɔn."
14,I warned Eli that sacrifices or offerings could never make things right! His family has done too many disgusting things.,"Na maka ntam se, Eli ne ne mmabarima bɔne no, sɛ wɔbɔ okum afɔre anaa aduan afɔre koraa a, wɔremfa nkyɛ wɔn da.” Samuel Kasa Ma Awurade"
15,"The next morning, Samuel got up and opened the doors to the Lord's house. He was afraid to tell Eli what the Lord had said.",Samuel daa hɔ ara kosii sɛ ade kyee. Obuebuee ntamadan hɔ mfɛnsere sɛnea ɔtaa yɛ no. Na osuro sɛ ɔbɛka asɛm a Awurade ka kyerɛɛ no no akyerɛ Eli.
16,"But Eli told him, “Samuel, my boy, come here!” “Yes, sir!” Samuel answered.","Nanso Eli frɛɛ no se, “Samuel, me ba.” Samuel buae se, “Mini!”"
17,"Eli said, “What did God say to you? Tell me everything. I'll ask God to punish you terribly if you don't tell me every word he said!”","Eli bisaa no se, “Asɛm bɛn na Awurade ka kyerɛɛ wo? Ka biribiara kyerɛ me. Sɛ wode biribiara sie me a, Onyankopɔn ntwe wʼaso.”"
18,"Samuel told Eli everything. Then Eli said, “He is the Lord, and he will do what's right.” The Lord Helps Samuel","Enti Samuel kaa biribiara kyerɛɛ Eli a wamfa hwee anhintaw no. Eli ka sɔw so se, “Ɔne Awurade; ma ɔnyɛ nea eye wɔ nʼani so.”"
19,"As Samuel grew up, the Lord helped him and made everything Samuel said come true.","Awurade kaa Samuel ho wɔ ne nyin mu, na biribiara a Samuel kae no, na ɛyɛ nyansasɛm a ɛboa."
20,"From the town of Dan in the north to the town of Beersheba in the south, everyone in the country knew that Samuel was truly the Lord's prophet.","Nnipa a wɔwɔ Israelman mu nyinaa, efi Dan asase wɔ atifi kosi anafo no, na wonim sɛ wɔahyɛ Samuel Awurade diyifo."
1,"Then Samuel would speak to the whole nation of Israel. The Philistines Capture the Sacred Chest One day the Israelites went out to fight the Philistines. They set up camp near Ebenezer, and the Philistines camped at Aphek.","Saa bere no, na Israelfo ne Filistifo reko. Israelfo nsraadɔm kyeree nsraban wɔ Ebeneser, na Filistifo nso kyeree nsraban wɔ Afek."
2,The Philistines made a fierce attack. They defeated the Israelites and killed about,"Filistifo no tow hyɛɛ Israelfo nsraadɔm no so, dii wɔn so nkonim, na wokum nnipa mpem anan."
4,"The army sent some soldiers to bring back the sacred chest from Shiloh, because the Lord All-Powerful has his throne on the winged creatures on top of the chest. As Eli's two sons, Hophni and Phinehas,","Enti nnipa no somaa mmarima kɔɔ Silo, na wɔde Asafo Awurade a ɔte kerubim ntam Apam Adaka no bae. Saa bere no na Eli mmabarima baanu Hofni ne Pinehas ka wɔn a wɔsoaa Onyankopɔn Apam Adaka no kɔɔ akono hɔ no ho."
3,"The Israelite army returned to their camp, and the leaders said, “Why did the Lord let us lose to the Philistines today? Let's get the sacred chest where the Lord's agreement with Israel is kept. Then the Lord will help us and rescue us from our enemies.”","Ɔko no baa awiei, na Israel nsraadɔm no san kɔɔ wɔn nsraban mu hɔ no, Israel mpanyimfo no bisae se, “Adɛn nti na Awurade ama yɛadi nkogu nnɛ yi wɔ Filistifo anim yi? Momma yɛnkɔfa Awurade Apam Adaka no mfi Silo. Sɛ yɛde kɔ ɔsa a, ebegye yɛn afi yɛn atamfo nsam.”"
5,"brought the chest into camp, the army cheered so loudly that the ground shook.","Bere a Israelfo no huu sɛ wɔde Awurade Apam Adaka no reba nsraban no mu no, wɔn nyinaa bɔɔ ose maa asase wosowee."
6,"The Philistines heard the noise and said, “What are those Hebrews shouting about?” When the Philistines learned that the sacred chest had been brought into the camp,","Filistifo no bisae se, “Dɛn na ɛrekɔ so yi? Dɛn osebɔ na ɛwɔ Hebrifo nsraban mu hɔ yi?” Wɔtee sɛ Awurade Apam Adaka no na abedu nsraban mu hɔ no,"
7,they were scared to death and said: The gods have come into their camp. Now we're in real trouble! Nothing like this has ever happened to us before.,"wosuroe. Na wɔkae se, “Anyame no aba wɔn nsraban mu hɔ. Ɛno de, asɛm ato yɛn! Yenhyiaa asɛm a ɛte sɛɛ bi da."
8,We're in big trouble! Who can save us from these powerful gods? They're the same gods who made all those horrible things happen to the Egyptians in the desert.,"Hena na obegye yɛn afi saa Israel anyame atumfo yi nsam? Wɔne anyame a wɔde owu ɔyare ahorow nyinaa bi sɛee Misraimfo, bere a Israelfo wɔ sare so hɔ no."
9,"Philistines, be brave and fight hard! If you don't, those Hebrews will rule us, just as we've been ruling them. Fight and don't be afraid.","Monyere mo ho, Filistifo! Munnyina sɛ mmarima; anyɛ saa a, Hebrifo no bɛfa mo nkoa sɛnea wɔyɛɛ yɛn nkoa no.”"
11,"Hophni and Phinehas were killed, and the sacred chest was captured. Eli Dies","Wɔfaa Onyankopɔn Apam Adaka no, na wokunkum Eli mmabarima baanu no, Hofni ne Pinehas. Eli Wu"
12,That same day a soldier from the tribe of Benjamin ran from the battlefront to Shiloh. He had torn his clothes and put dirt on his head to show his sorrow.,"Da no ara, ɔbarima bi fi Benyamin abusua mu guan fii akono hɔ beduu Silo. Na watetew ne ntade mu, de mfutuma ahura ne ti mu, de kyerɛ nʼawerɛhow."
13,"He went into town and told the news about the battle, and everyone started crying. Eli was afraid that something might happen to the sacred chest. So he was sitting on his chair beside the road, just waiting.","Na Eli retwɛn wɔ kwankyɛn baabi, pɛ sɛ ɔte ɔko no mu nsɛm, efisɛ na ne bo ntɔ ne yam koraa wɔ Onyankopɔn Apam Adaka no ho. Ɔbɔfo no ba bɛkaa asɛm a asi no, wɔtee nteɛteɛmu bi wɔ kurow no mu nyinaa."
16,"“I escaped from the fighting today and ran here.” “Young man, what happened?” Eli asked.","Ɔka kyerɛɛ Eli se, “Mprempren ara na mifi akono hɔ bae. Nnɛ yi ara, na mewɔ hɔ.” Eli bisae se, “Na ekosii dɛn?”"
17,"“Israel ran away from the Philistines,” the soldier answered. “Many of our people were killed, including your two sons, Hophni and Phinehas. But worst of all, the sacred chest was captured.”","Ɔbɔfo no buae se, “Israelfo adi nkogu. Israel nsraadɔm no mpem mpem atotɔ wɔ akono hɔ. Afei, wo mmabarima baanu a ɛyɛ Hofni ne Pinehas no nso awuwu, na Onyankopɔn Apam Adaka no nso, wɔafa.”"
18,"Eli was still sitting on a chair beside the wall of the town gate. And when the man said that the Philistines had taken the sacred chest, Eli fell backwards. He was a very heavy old man, and the fall broke his neck and killed him. He had been a leader of Israel for","Ɔbɔfo no kaa Onyankopɔn Apam Adaka no ho asɛm ara pɛ, Eli fi akongua a ɔte so mu wɔ abɔntenpon ho no te hwee nʼakyi. Ne kɔn mu bui, efisɛ na wabɔ akwakoraa a ne mu nso yɛ duru. Na wadi Israel anim mfirihyia aduanan."
19,"The wife of Phinehas was about to give birth. And soon after she heard that the sacred chest had been captured and that her husband and his father had died, her baby came. The birth was very hard,","Saa bere no na nʼasebea a ɔyɛ Pinehas yere anyinsɛn a ɔreyɛ awo. Ɔtee sɛ wɔafa Onyankopɔn Apam Adaka no, na nʼase ne ne kunu awuwu no, awo kaa no amono mu hɔ ara."
20,"and she was dying. But the women taking care of her said, “Don't be afraid—it's a boy!” She didn't pay any attention to them.","Owuu wɔ awoko mu, nanso ansa na ɔrebewu no, mmea a wɔregye no awo no kae se, “Mpa abaw; woawo abarimaa.” Nanso wammua wɔn na wankasa wɔn ho nso."
1,The Philistines took the sacred chest from near Ebenezer to the town of Ashdod.,"Filistifo no faa Onyankopɔn Apam Adaka no akyi, wɔmaa so fii Ebeneser akono hɔ kɔɔ kuropɔn Asdod mu."
2,"They brought it into the temple of their god Dagon and put it next to the statue of Dagon, which they worshiped.",Wɔsoaa Onyankopɔn Apam Adaka no kɔɔ Dagon abosonnan mu. Wɔde kosii ohoni Dagon nkyɛn.
3,"When the people of Ashdod got up early the next morning, they found the statue lying facedown on the floor in front of the sacred chest. They put the statue back where it belonged.","Nanso ade kyee a Asdod kurowmma no kɔhwɛe no, na Dagon ahwe fam wɔ Awurade Apam Adaka no anim a nʼanim butuw fam. Enti wɔmaa ohoni no so gyinaa hɔ bio."
4,"But early the next morning, it had fallen over again and was lying facedown on the floor in front of the chest. The body of the statue was still in one piece, but its head and both hands had broken off and were lying on the stone floor in the doorway.","Nanso ade kyee anɔpa no, na asɛm koro no ara asi bio. Na Dagon no ahwe fam wɔ Awurade Apam Adaka no anim a nʼanim butuw fam. Saa bere yi de, na ne ti ne ne nsa abubu afi so deda ɔpon ano. Ne sin no na na aka da hɔ a ammubu."
5,This is why the priests and everyone else step over that part of the doorway when they enter the temple of Dagon in Ashdod.,"Ɛno nti na ebesi nnɛ yi, Dagon asɔfo anaa obiara a obewura abosonnan mu hɔ no ntia aponnua no so no."
